Date,Interest Rate,Economic Growth Rate
2/19/2002,6.5,4.142
2/21/2002,6.5,4.142
2/23/2002,6.429,4.19
2/25/2002,6.357,4.239
2/27/2002,6.286,4.287
3/1/2002,6.214,4.335
3/3/2002,6.143,4.383
3/5/2002,6.071,4.432
3/7/2002,6,4.48
3/9/2002,6,4.48
3/14/2002,6,4.48
3/19/2002,6,4.528
3/24/2002,6,4.577
3/29/2002,6,4.625
4/3/2002,6,4.673
4/8/2002,6,4.721
4/13/2002,6,4.77
4/18/2002,6,4.818
4/23/2002,6,4.818
4/25/2002,6,4.818
4/27/2002,6,4.866
4/29/2002,6,4.915
5/1/2002,6,4.963
5/3/2002,6,5.011
5/5/2002,6,5.059
5/7/2002,6,5.108
5/9/2002,6,5.156
5/12/2002,6,5.156
5/14/2002,6,5.156
5/16/2002,5.964,5.204
5/19/2002,5.929,5.253
5/21/2002,5.893,5.301
5/23/2002,5.857,5.349
5/26/2002,5.821,5.397
5/28/2002,5.786,5.446
5/30/2002,5.75,5.494
6/2/2002,5.75,5.494
6/7/2002,5.75,5.494
6/13/2002,5.75,5.542
6/19/2002,5.75,5.591
6/24/2002,5.75,5.639
6/30/2002,5.75,5.687
7/6/2002,5.75,5.735
7/11/2002,5.75,5.784
7/17/2002,5.75,5.832
7/23/2002,5.75,5.832
7/25/2002,5.75,5.832
7/27/2002,5.75,5.88
7/29/2002,5.75,5.929
7/31/2002,5.75,5.977
8/3/2002,5.75,6.025
8/5/2002,5.75,6.073
8/7/2002,5.75,6.122
8/9/2002,5.75,6.17
8/12/2002,5.75,6.17
8/15/2002,5.75,6.17
8/18/2002,5.75,6.218
8/22/2002,5.75,6.267
8/25/2002,5.75,6.315
8/29/2002,5.75,6.363
9/1/2002,5.75,6.411
9/5/2002,5.75,6.46
9/8/2002,5.75,6.508
9/12/2002,5.75,6.508
9/17/2002,5.75,6.508
9/22/2002,5.75,6.556
9/28/2002,5.75,6.605
10/3/2002,5.75,6.653
10/9/2002,5.75,6.701
10/14/2002,5.75,6.749
10/20/2002,5.75,6.798
10/25/2002,5.75,6.846
10/31/2002,5.75,6.846
11/3/2002,5.75,6.846
11/6/2002,5.714,6.894
11/10/2002,5.679,6.943
11/13/2002,5.643,6.991
11/16/2002,5.607,7.039
11/20/2002,5.571,7.087
11/23/2002,5.536,7.136
11/26/2002,5.5,7.184
11/30/2002,5.5,7.184
12/2/2002,5.5,7.184
12/4/2002,5.5,7.232
12/6/2002,5.5,7.281
12/8/2002,5.5,7.329
12/11/2002,5.5,7.377
12/13/2002,5.5,7.425
12/15/2002,5.5,7.474
12/17/2002,5.5,7.522
12/20/2002,5.5,7.522
12/24/2002,5.5,7.522
12/29/2002,5.5,7.57
1/2/2003,5.5,7.619
1/7/2003,5.5,7.667
1/11/2003,5.5,7.715
1/16/2003,5.5,7.763
1/20/2003,5.5,7.812
1/25/2003,5.5,7.86
1/30/2003,5.5,7.86
2/1/2003,5.5,7.86
2/3/2003,5.5,7.861
2/5/2003,5.5,7.861
2/7/2003,5.5,7.862
2/10/2003,5.5,7.863
2/12/2003,5.5,7.864
2/14/2003,5.5,7.864
2/16/2003,5.5,7.865
2/19/2003,5.5,7.865
2/21/2003,5.5,7.865
2/23/2003,5.429,7.866
2/25/2003,5.357,7.866
2/27/2003,5.286,7.867
3/1/2003,5.214,7.868
3/3/2003,5.143,7.869
3/5/2003,5.071,7.869
3/7/2003,5,7.87
3/9/2003,5,7.87
3/14/2003,5,7.87
3/19/2003,5,7.871
3/24/2003,5,7.872
3/29/2003,5,7.873
4/3/2003,5,7.873
4/8/2003,5,7.874
4/13/2003,5,7.875
4/18/2003,5,7.876
4/23/2003,5,7.876
4/25/2003,5,7.876
4/27/2003,5,7.877
4/29/2003,5,7.877
5/1/2003,5,7.878
5/3/2003,5,7.879
5/5/2003,5,7.88
5/7/2003,5,7.88
5/9/2003,5,7.881
5/12/2003,5,7.881
5/14/2003,5,7.881
5/16/2003,5,7.882
5/19/2003,5,7.882
5/21/2003,5,7.883
5/23/2003,5,7.884
5/26/2003,5,7.885
5/28/2003,5,7.885
5/30/2003,5,7.886
6/2/2003,5,7.886
6/7/2003,5,7.886
6/13/2003,5,7.887
6/19/2003,5,7.888
6/24/2003,5,7.889
6/30/2003,5,7.889
7/6/2003,5,7.89
7/11/2003,5,7.891
7/17/2003,5,7.892
7/23/2003,5,7.892
7/25/2003,5,7.892
7/27/2003,4.929,7.893
7/29/2003,4.857,7.893
7/31/2003,4.786,7.894
8/3/2003,4.714,7.895
8/5/2003,4.643,7.896
8/7/2003,4.571,7.896
8/9/2003,4.5,7.897
8/12/2003,4.5,7.897
8/15/2003,4.5,7.897
8/18/2003,4.5,7.898
8/22/2003,4.5,7.898
8/25/2003,4.5,7.899
8/29/2003,4.5,7.9
9/1/2003,4.5,7.901
9/5/2003,4.5,7.901
9/8/2003,4.5,7.902
9/12/2003,4.5,7.902
9/17/2003,4.5,7.902
9/22/2003,4.5,7.903
9/28/2003,4.5,7.903
10/3/2003,4.5,7.904
10/9/2003,4.5,7.905
10/14/2003,4.5,7.906
10/20/2003,4.5,7.906
10/25/2003,4.5,7.907
10/31/2003,4.5,7.907
11/3/2003,4.5,7.907
11/6/2003,4.5,7.908
11/10/2003,4.5,7.908
11/13/2003,4.5,7.909
11/16/2003,4.5,7.91
11/20/2003,4.5,7.911
11/23/2003,4.5,7.911
11/26/2003,4.5,7.912
11/30/2003,4.5,7.912
12/2/2003,4.5,7.912
12/4/2003,4.5,7.913
12/6/2003,4.5,7.914
12/8/2003,4.5,7.915
12/11/2003,4.5,7.915
12/13/2003,4.5,7.916
12/15/2003,4.5,7.917
12/17/2003,4.5,7.918
12/20/2003,4.5,7.918
12/24/2003,4.5,7.918
12/29/2003,4.5,7.919
1/2/2004,4.5,7.919
1/7/2004,4.5,7.92
1/11/2004,4.5,7.921
1/16/2004,4.5,7.922
1/20/2004,4.5,7.922
1/25/2004,4.5,7.923
1/30/2004,4.5,7.923
2/1/2004,4.5,7.923
2/3/2004,4.5,7.923
2/5/2004,4.5,7.923
2/7/2004,4.5,7.923
2/10/2004,4.5,7.923
2/12/2004,4.5,7.923
2/14/2004,4.5,7.923
2/16/2004,4.5,7.923
2/19/2004,4.5,7.923
2/21/2004,4.5,7.923
2/23/2004,4.5,7.923
2/25/2004,4.5,7.923
2/27/2004,4.5,7.923
2/29/2004,4.5,7.923
3/2/2004,4.5,7.923
3/4/2004,4.5,7.923
3/6/2004,4.5,7.923
3/9/2004,4.5,7.923
3/14/2004,4.5,7.923
3/19/2004,4.5,7.923
3/24/2004,4.5,7.923
3/29/2004,4.5,7.923
4/3/2004,4.5,7.923
4/8/2004,4.5,7.923
4/13/2004,4.5,7.923
4/18/2004,4.5,7.923
4/23/2004,4.5,7.923
4/25/2004,4.5,7.923
4/27/2004,4.5,7.923
4/29/2004,4.5,7.923
5/1/2004,4.5,7.923
5/3/2004,4.5,7.923
5/5/2004,4.5,7.923
5/7/2004,4.5,7.923
5/9/2004,4.5,7.923
5/12/2004,4.5,7.923
5/14/2004,4.5,7.923
5/16/2004,4.5,7.923
5/19/2004,4.5,7.923
5/21/2004,4.5,7.923
5/23/2004,4.5,7.923
5/26/2004,4.5,7.923
5/28/2004,4.5,7.923
5/30/2004,4.5,7.923
6/2/2004,4.5,7.923
6/7/2004,4.5,7.923
6/13/2004,4.5,7.923
6/19/2004,4.5,7.923
6/24/2004,4.5,7.923
6/30/2004,4.5,7.923
7/6/2004,4.5,7.923
7/11/2004,4.5,7.923
7/17/2004,4.5,7.923
7/23/2004,4.5,7.923
7/25/2004,4.5,7.923
7/27/2004,4.5,7.923
7/29/2004,4.5,7.923
7/31/2004,4.5,7.923
8/3/2004,4.5,7.923
8/5/2004,4.5,7.923
8/7/2004,4.5,7.923
8/9/2004,4.5,7.923
8/12/2004,4.5,7.923
8/15/2004,4.5,7.923
8/18/2004,4.5,7.923
8/22/2004,4.5,7.923
8/25/2004,4.5,7.923
8/29/2004,4.5,7.923
9/1/2004,4.5,7.923
9/5/2004,4.5,7.923
9/8/2004,4.5,7.923
9/12/2004,4.5,7.923
9/17/2004,4.75,7.923
9/22/2004,4.714,7.923
9/28/2004,4.679,7.923
10/3/2004,4.643,7.923
10/9/2004,4.607,7.923
10/14/2004,4.571,7.923
10/20/2004,4.536,7.923
10/25/2004,4.5,7.923
10/31/2004,4.75,7.923
11/3/2004,6,7.923
11/6/2004,5.821,7.923
11/10/2004,5.643,7.923
11/13/2004,5.464,7.923
11/16/2004,5.286,7.923
11/20/2004,5.107,7.923
11/23/2004,4.929,7.923
11/26/2004,4.75,7.923
11/30/2004,6,7.923
12/2/2004,6,7.923
12/4/2004,6,7.923
12/6/2004,6,7.923
12/8/2004,6,7.923
12/11/2004,6,7.923
12/13/2004,6,7.923
12/15/2004,6,7.923
12/17/2004,6,7.923
12/20/2004,6,7.923
12/24/2004,6,7.923
12/29/2004,6,7.923
1/2/2005,6,7.923
1/7/2005,6,7.923
1/11/2005,6,7.923
1/16/2005,6,7.923
1/20/2005,6,7.923
1/25/2005,6,7.923
1/30/2005,6,7.923
2/1/2005,6,7.923
2/3/2005,6,7.925
2/5/2005,6,7.926
2/7/2005,6,7.928
2/10/2005,6,7.929
2/12/2005,6,7.931
2/14/2005,6,7.932
2/16/2005,6,7.934
2/19/2005,6,7.934
2/21/2005,6,7.934
2/23/2005,6,7.936
2/25/2005,6,7.937
2/27/2005,6,7.939
3/1/2005,6,7.941
3/3/2005,6,7.943
3/5/2005,6,7.944
3/7/2005,6,7.946
3/9/2005,6,7.946
3/14/2005,6,7.946
3/19/2005,6,7.948
3/24/2005,6,7.949
3/29/2005,6,7.951
4/3/2005,6,7.953
4/8/2005,6,7.955
4/13/2005,6,7.956
4/18/2005,6,7.958
4/23/2005,6,7.958
4/25/2005,6,7.958
4/27/2005,6,7.96
4/29/2005,6,7.961
5/1/2005,6,7.963
5/3/2005,6,7.964
5/5/2005,6,7.966
5/7/2005,6,7.967
5/9/2005,6,7.969
5/12/2005,6,7.969
5/14/2005,6,7.969
5/16/2005,6,7.971
5/19/2005,6,7.972
5/21/2005,6,7.974
5/23/2005,6,7.975
5/26/2005,6,7.977
5/28/2005,6,7.978
5/30/2005,6,7.98
6/2/2005,6,7.98
6/7/2005,6,7.98
6/13/2005,6,7.982
6/19/2005,6,7.983
6/24/2005,6,7.985
6/30/2005,6,7.987
7/6/2005,6,7.989
7/11/2005,6,7.99
7/17/2005,6,7.992
7/23/2005,6,7.992
7/25/2005,6,7.992
7/27/2005,6,7.994
7/29/2005,6,7.995
7/31/2005,6,7.997
8/3/2005,6,7.999
8/5/2005,6,8.001
8/7/2005,6,8.002
8/9/2005,6,8.004
8/12/2005,6,8.004
8/15/2005,6,8.004
8/18/2005,6,8.006
8/22/2005,6,8.007
8/25/2005,6,8.009
8/29/2005,6,8.01
9/1/2005,6,8.012
9/5/2005,6,8.013
9/8/2005,6,8.015
9/12/2005,6,8.015
9/17/2005,6,8.015
9/22/2005,6,8.017
9/28/2005,6,8.018
10/3/2005,6,8.02
10/9/2005,6,8.021
10/14/2005,6,8.023
10/20/2005,6,8.024
10/25/2005,6,8.026
10/31/2005,6,8.026
11/3/2005,6.23,8.026
11/6/2005,6.197,8.028
11/10/2005,6.164,8.029
11/13/2005,6.131,8.031
11/16/2005,6.099,8.033
11/20/2005,6.066,8.035
11/23/2005,6.033,8.036
11/26/2005,6,8.038
11/30/2005,6.23,8.038
12/2/2005,6.25,8.038
12/4/2005,6.247,8.04
12/6/2005,6.244,8.041
12/8/2005,6.241,8.043
12/11/2005,6.239,8.045
12/13/2005,6.236,8.047
12/15/2005,6.233,8.048
12/17/2005,6.23,8.05
12/20/2005,6.25,8.05
12/24/2005,6.5,8.05
12/29/2005,6.464,8.052
1/2/2006,6.429,8.053
1/7/2006,6.393,8.055
1/11/2006,6.357,8.056
1/16/2006,6.321,8.058
1/20/2006,6.286,8.059
1/25/2006,6.25,8.061
1/30/2006,6.5,8.061
2/1/2006,6.5,8.028
2/3/2006,6.5,8.033
2/5/2006,6.5,8.037
2/7/2006,6.5,8.042
2/10/2006,6.5,8.047
2/12/2006,6.5,8.052
2/14/2006,6.5,8.056
2/16/2006,6.5,8.061
2/19/2006,6.5,8.028
2/21/2006,6.5,7.994
2/23/2006,6.5,7.999
2/25/2006,6.5,8.004
2/27/2006,6.5,8.009
3/1/2006,6.5,8.013
3/3/2006,6.5,8.018
3/5/2006,6.5,8.023
3/7/2006,6.5,8.028
3/9/2006,6.5,7.994
3/14/2006,6.5,7.961
3/19/2006,6.5,7.966
3/24/2006,6.5,7.97
3/29/2006,6.5,7.975
4/3/2006,6.5,7.98
4/8/2006,6.5,7.985
4/13/2006,6.5,7.989
4/18/2006,6.5,7.994
4/23/2006,6.5,7.961
4/25/2006,6.5,7.928
4/27/2006,6.5,7.933
4/29/2006,6.5,7.937
5/1/2006,6.5,7.942
5/3/2006,6.5,7.947
5/5/2006,6.5,7.952
5/7/2006,6.5,7.956
5/9/2006,6.5,7.961
5/12/2006,6.5,7.928
5/14/2006,6.75,7.894
5/16/2006,6.714,7.899
5/19/2006,6.679,7.904
5/21/2006,6.643,7.909
5/23/2006,6.607,7.913
5/26/2006,6.571,7.918
5/28/2006,6.536,7.923
5/30/2006,6.5,7.928
6/2/2006,6.75,7.894
6/7/2006,7,7.861
6/13/2006,6.964,7.866
6/19/2006,6.929,7.87
6/24/2006,6.893,7.875
6/30/2006,6.857,7.88
7/6/2006,6.821,7.885
7/11/2006,6.786,7.889
7/17/2006,6.75,7.894
7/23/2006,7,7.861
7/25/2006,7,7.828
7/27/2006,7,7.833
7/29/2006,7,7.837
7/31/2006,7,7.842
8/3/2006,7,7.847
8/5/2006,7,7.852
8/7/2006,7,7.856
8/9/2006,7,7.861
8/12/2006,7,7.828
8/15/2006,7,7.794
8/18/2006,7,7.799
8/22/2006,7,7.804
8/25/2006,7,7.809
8/29/2006,7,7.813
9/1/2006,7,7.818
9/5/2006,7,7.823
9/8/2006,7,7.828
9/12/2006,7,7.794
9/17/2006,7,7.761
9/22/2006,7,7.766
9/28/2006,7,7.77
10/3/2006,7,7.775
10/9/2006,7,7.78
10/14/2006,7,7.785
10/20/2006,7,7.789
10/25/2006,7,7.794
10/31/2006,7,7.761
11/3/2006,7,7.728
11/6/2006,7,7.733
11/10/2006,7,7.737
11/13/2006,7,7.742
11/16/2006,7,7.747
11/20/2006,7,7.752
11/23/2006,7,7.756
11/26/2006,7,7.761
11/30/2006,7,7.728
12/2/2006,7,7.694
12/4/2006,7,7.699
12/6/2006,7,7.704
12/8/2006,7,7.709
12/11/2006,7,7.713
12/13/2006,7,7.718
12/15/2006,7,7.723
12/17/2006,7,7.728
12/20/2006,7,7.694
12/24/2006,7,7.661
12/29/2006,7,7.666
1/2/2007,7,7.67
1/7/2007,7,7.675
1/11/2007,7,7.68
1/16/2007,7,7.685
1/20/2007,7,7.689
1/25/2007,7,7.694
1/30/2007,7,7.661
2/1/2007,7,7.28
2/3/2007,7,7.334
2/5/2007,7,7.389
2/7/2007,7,7.443
2/10/2007,7,7.498
2/12/2007,7,7.552
2/14/2007,7,7.607
2/16/2007,7,7.661
2/19/2007,7,7.28
2/21/2007,7,6.899
2/23/2007,7,6.953
2/25/2007,7,7.008
2/27/2007,7,7.062
3/1/2007,7,7.117
3/3/2007,7,7.171
3/5/2007,7,7.226
3/7/2007,7,7.28
3/9/2007,7,6.899
3/14/2007,7,6.518
3/19/2007,7,6.572
3/24/2007,7,6.627
3/29/2007,7,6.681
4/3/2007,7,6.736
4/8/2007,7,6.79
4/13/2007,7,6.845
4/18/2007,7,6.899
4/23/2007,7,6.518
4/25/2007,7,6.136
4/27/2007,7,6.191
4/29/2007,7,6.245
5/1/2007,7,6.3
5/3/2007,7,6.354
5/5/2007,7,6.409
5/7/2007,7,6.463
5/9/2007,7,6.518
5/12/2007,7,6.136
5/14/2007,7,5.755
5/16/2007,7,5.809
5/19/2007,7,5.864
5/21/2007,7,5.918
5/23/2007,7,5.973
5/26/2007,7,6.027
5/28/2007,7,6.082
5/30/2007,7,6.136
6/2/2007,7,5.755
6/7/2007,7,5.374
6/13/2007,7,5.428
6/19/2007,7,5.483
6/24/2007,7,5.537
6/30/2007,7,5.592
7/6/2007,7,5.646
7/11/2007,7,5.701
7/17/2007,7,5.755
7/23/2007,7,5.374
7/25/2007,7,4.993
7/27/2007,7,5.047
7/29/2007,7,5.102
7/31/2007,7,5.156
8/3/2007,7,5.211
8/5/2007,7,5.265
8/7/2007,7,5.32
8/9/2007,7,5.374
8/12/2007,7,4.993
8/15/2007,7,4.612
8/18/2007,7,4.666
8/22/2007,7,4.721
8/25/2007,7,4.775
8/29/2007,7,4.83
9/1/2007,7,4.884
9/5/2007,7,4.939
9/8/2007,7,4.993
9/12/2007,7,4.612
9/17/2007,7,4.23
9/22/2007,7,4.285
9/28/2007,7,4.339
10/3/2007,7,4.394
10/9/2007,7,4.448
10/14/2007,7,4.503
10/20/2007,7,4.557
10/25/2007,7,4.612
10/31/2007,7,4.23
11/3/2007,7,3.849
11/6/2007,7,3.903
11/10/2007,7,3.958
11/13/2007,7,4.012
11/16/2007,7,4.067
11/20/2007,7,4.121
11/23/2007,7,4.176
11/26/2007,7,4.23
11/30/2007,7,3.849
12/2/2007,7,3.468
12/4/2007,7,3.522
12/6/2007,7,3.577
12/8/2007,7,3.631
12/11/2007,7,3.686
12/13/2007,7,3.74
12/15/2007,7,3.795
12/17/2007,7,3.849
12/20/2007,7,3.468
12/24/2007,7,3.087
12/29/2007,7,3.141
1/2/2008,7,3.196
1/7/2008,7,3.25
1/11/2008,7,3.305
1/16/2008,7,3.359
1/20/2008,7,3.414
1/25/2008,7,3.468
1/30/2008,7,3.087
2/1/2008,7,3.087
2/3/2008,7,3.144
2/5/2008,7,3.201
2/7/2008,7,3.258
2/10/2008,7,3.314
2/12/2008,7,3.371
2/14/2008,7,3.428
2/16/2008,7,3.485
2/19/2008,7,3.485
2/21/2008,7,3.485
2/23/2008,7,3.542
2/25/2008,7,3.599
2/27/2008,7,3.656
2/29/2008,7,3.712
3/2/2008,7,3.769
3/4/2008,7,3.826
3/6/2008,7,3.883
3/9/2008,7,3.883
3/14/2008,7,3.883
3/19/2008,7,3.94
3/24/2008,7,3.997
3/29/2008,7,4.054
4/3/2008,7,4.11
4/8/2008,7,4.167
4/13/2008,7,4.224
4/18/2008,7,4.281
4/23/2008,7,4.281
4/25/2008,7,4.281
4/27/2008,7,4.338
4/29/2008,7,4.395
5/1/2008,7,4.452
5/3/2008,7,4.508
5/5/2008,7,4.565
5/7/2008,7,4.622
5/9/2008,7,4.679
5/12/2008,7,4.679
5/14/2008,7,4.679
5/16/2008,7,4.736
5/19/2008,7,4.793
5/21/2008,7,4.85
5/23/2008,7,4.906
5/26/2008,7,4.963
5/28/2008,7,5.02
5/30/2008,7,5.077
6/2/2008,7,5.077
6/7/2008,7,5.077
6/13/2008,7,5.134
6/19/2008,7,5.191
6/24/2008,7,5.248
6/30/2008,7,5.304
7/6/2008,7,5.361
7/11/2008,7,5.418
7/17/2008,7,5.475
7/23/2008,7,5.475
7/25/2008,7,5.475
7/27/2008,7,5.532
7/29/2008,7,5.588
7/31/2008,7,5.645
8/3/2008,7,5.702
8/5/2008,7,5.759
8/7/2008,7,5.815
8/9/2008,7,5.872
8/12/2008,7,5.872
8/15/2008,7,5.872
8/18/2008,7,5.929
8/22/2008,7,5.986
8/25/2008,7,6.043
8/29/2008,7,6.099
9/1/2008,7,6.156
9/5/2008,7,6.213
9/8/2008,7,6.27
9/12/2008,7,6.27
9/17/2008,7,6.27
9/22/2008,7,6.327
9/28/2008,7,6.384
10/3/2008,7,6.441
10/9/2008,7,6.497
10/14/2008,7,6.554
10/20/2008,7,6.611
10/25/2008,7,6.668
10/31/2008,7,6.668
11/3/2008,7,6.668
11/6/2008,7,6.725
11/10/2008,7,6.782
11/13/2008,7,6.839
11/16/2008,7,6.895
11/20/2008,7,6.952
11/23/2008,7,7.009
11/26/2008,7,7.066
11/30/2008,7,7.066
12/2/2008,7,7.066
12/4/2008,6.857,7.123
12/6/2008,6.714,7.18
12/8/2008,6.571,7.237
12/11/2008,6.429,7.293
12/13/2008,6.286,7.35
12/15/2008,6.143,7.407
12/17/2008,6,7.464
12/20/2008,6,7.464
12/24/2008,6,7.464
12/29/2008,5.857,7.521
1/2/2009,5.714,7.578
1/7/2009,5.571,7.635
1/11/2009,5.429,7.691
1/16/2009,5.286,7.748
1/20/2009,5.143,7.805
1/25/2009,5,7.862
1/30/2009,5,7.862
2/1/2009,5,7.862
2/3/2009,5,7.87
2/5/2009,5,7.877
2/7/2009,5,7.885
2/10/2009,5,7.892
2/12/2009,5,7.9
2/14/2009,5,7.907
2/16/2009,5,7.915
2/19/2009,5,7.915
2/21/2009,5,7.915
2/23/2009,5,7.923
2/25/2009,5,7.93
2/27/2009,5,7.938
3/1/2009,5,7.945
3/3/2009,5,7.953
3/5/2009,5,7.96
3/7/2009,5,7.968
3/9/2009,5,7.968
3/14/2009,5,7.968
3/19/2009,4.893,7.976
3/24/2009,4.786,7.983
